"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"adam brody wife","2K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 10:20:00 AM UTC-4","adam brody wife,dax shepard","https://trends.google.com/trends/explore?q=adam%20brody%20wife&geo=US&hl=en"
"tiffany stratton","2K+","October 4, 2024 at 9:10:00 PM UTC-4","October 5, 2024 at 8:30:00 AM UTC-4","tiffany stratton,tiffany","https://trends.google.com/trends/explore?q=tiffany%20stratton&geo=US&hl=en"
"seamus casey","1K+","October 5, 2024 at 11:30:00 AM UTC-4","October 5, 2024 at 1:20:00 PM UTC-4","seamus casey","https://trends.google.com/trends/explore?q=seamus%20casey&geo=US&hl=en"
"magic johnson","5K+","October 4, 2024 at 5:40:00 PM UTC-4","October 5, 2024 at 2:10:00 AM UTC-4","magic johnson","https://trends.google.com/trends/explore?q=magic%20johnson&geo=US&hl=en"
"harvard football","5K+","October 4, 2024 at 5:20:00 PM UTC-4","October 5, 2024 at 7:40:00 AM UTC-4","harvard football,unh football","https://trends.google.com/trends/explore?q=harvard%20football&geo=US&hl=en"
"where is gameday this week","2K+","October 5, 2024 at 8:20:00 AM UTC-4","October 5, 2024 at 11:40:00 AM UTC-4","where is gameday this week,where is lee corso today,where is lee corso","https://trends.google.com/trends/explore?q=where%20is%20gameday%20this%20week&geo=US&hl=en"
"mario cristobal","2K+","October 5, 2024 at 9:30:00 AM UTC-4","October 5, 2024 at 10:50:00 AM UTC-4","mario cristobal","https://trends.google.com/trends/explore?q=mario%20cristobal&geo=US&hl=en"
"hugh jackman","5K+","October 4, 2024 at 10:10:00 PM UTC-4","October 5, 2024 at 5:30:00 AM UTC-4","hugh jackman","https://trends.google.com/trends/explore?q=hugh%20jackman&geo=US&hl=en"
"lfc","2K+","October 5, 2024 at 7:40:00 AM UTC-4","October 5, 2024 at 10:10:00 AM UTC-4","lfc,kelleher,liverpool fixtures,alisson becker,kelleher liverpool,jaros liverpool,caoimhin kelleher","https://trends.google.com/trends/explore?q=lfc&geo=US&hl=en"
"hannah love is blind season 7","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 3:30:00 AM UTC-4","hannah love is blind season 7","https://trends.google.com/trends/explore?q=hannah%20love%20is%20blind%20season%207&geo=US&hl=en"
"adam pearson","2K+","October 5, 2024 at 12:40:00 AM UTC-4","October 5, 2024 at 6:50:00 AM UTC-4","adam pearson","https://trends.google.com/trends/explore?q=adam%20pearson&geo=US&hl=en"
"trey yingst","2K+","October 5, 2024 at 10:00:00 AM UTC-4","October 5, 2024 at 11:20:00 AM UTC-4","trey yingst","https://trends.google.com/trends/explore?q=trey%20yingst&geo=US&hl=en"
"alfred dunhill links championship","1K+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 12:10:00 PM UTC-4","alfred dunhill links championship","https://trends.google.com/trends/explore?q=alfred%20dunhill%20links%20championship&geo=US&hl=en"
"jules bianchi","1K+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 11:30:00 AM UTC-4","jules bianchi","https://trends.google.com/trends/explore?q=jules%20bianchi&geo=US&hl=en"
"kobe bryant","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 3:00:00 AM UTC-4","kobe bryant","https://trends.google.com/trends/explore?q=kobe%20bryant&geo=US&hl=en"
"wolverine and deadpool","5K+","October 4, 2024 at 7:10:00 PM UTC-4","October 5, 2024 at 2:30:00 AM UTC-4","wolverine and deadpool,deadpool 2","https://trends.google.com/trends/explore?q=wolverine%20and%20deadpool&geo=US&hl=en"
"twin cities marathon","1K+","October 5, 2024 at 8:10:00 AM UTC-4","October 5, 2024 at 11:50:00 AM UTC-4","twin cities marathon","https://trends.google.com/trends/explore?q=twin%20cities%20marathon&geo=US&hl=en"
"alexander zverev","1K+","October 5, 2024 at 9:00:00 AM UTC-4","October 5, 2024 at 11:50:00 AM UTC-4","alexander zverev","https://trends.google.com/trends/explore?q=alexander%20zverev&geo=US&hl=en"
"dan lanning","5K+","October 4, 2024 at 9:40:00 PM UTC-4","October 5, 2024 at 1:30:00 AM UTC-4","dan lanning,university of oregon","https://trends.google.com/trends/explore?q=dan%20lanning&geo=US&hl=en"
"dominican republic","1K+","October 5, 2024 at 6:00:00 AM UTC-4","October 5, 2024 at 11:10:00 AM UTC-4","dominican republic","https://trends.google.com/trends/explore?q=dominican%20republic&geo=US&hl=en"
"jacksonville state","10K+","October 4, 2024 at 6:40:00 PM UTC-4","October 4, 2024 at 11:00:00 PM UTC-4","jacksonville state,jax state vs kennesaw st,kennesaw state,kennesaw state university,jacksonville state vs kennesaw state prediction,jacksonville state vs kennesaw state,rich rodriguez","https://trends.google.com/trends/explore?q=jacksonville%20state&geo=US&hl=en"
"kourtney kardashian","2K+","October 4, 2024 at 9:20:00 PM UTC-4","October 5, 2024 at 9:40:00 AM UTC-4","kourtney kardashian","https://trends.google.com/trends/explore?q=kourtney%20kardashian&geo=US&hl=en"
"jake rogers","500+","October 5, 2024 at 1:50:00 PM UTC-4","October 5, 2024 at 3:00:00 PM UTC-4","jake rogers","https://trends.google.com/trends/explore?q=jake%20rogers&geo=US&hl=en"
"ops baseball","500+","October 5, 2024 at 1:10:00 PM UTC-4","October 5, 2024 at 2:20:00 PM UTC-4","ops baseball","https://trends.google.com/trends/explore?q=ops%20baseball&geo=US&hl=en"
"harper steele","5K+","October 5, 2024 at 1:00:00 AM UTC-4","October 5, 2024 at 5:00:00 AM UTC-4","harper steele,andrew steele,harper steele before","https://trends.google.com/trends/explore?q=harper%20steele&geo=US&hl=en"
"ariel mitchell-kidd","1K+","October 5, 2024 at 10:50:00 AM UTC-4","October 5, 2024 at 1:10:00 PM UTC-4","ariel mitchell-kidd","https://trends.google.com/trends/explore?q=ariel%20mitchell-kidd&geo=US&hl=en"
"liverpool standings","1K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 12:00:00 PM UTC-4","liverpool standings","https://trends.google.com/trends/explore?q=liverpool%20standings&geo=US&hl=en"
"first friday","2K+","October 4, 2024 at 5:10:00 PM UTC-4","October 5, 2024 at 12:50:00 AM UTC-4","first friday","https://trends.google.com/trends/explore?q=first%20friday&geo=US&hl=en"
"billy shaw","2K+","October 4, 2024 at 7:10:00 PM UTC-4","October 5, 2024 at 8:50:00 AM UTC-4","billy shaw,g","https://trends.google.com/trends/explore?q=billy%20shaw&geo=US&hl=en"
"leo love is blind","2K+","October 4, 2024 at 9:10:00 PM UTC-4","October 5, 2024 at 5:00:00 AM UTC-4","leo love is blind,leo braudy","https://trends.google.com/trends/explore?q=leo%20love%20is%20blind&geo=US&hl=en"
"jeff glor","2K+","October 5, 2024 at 8:00:00 AM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","jeff glor,cbs saturday morning","https://trends.google.com/trends/explore?q=jeff%20glor&geo=US&hl=en"
"leighton meester","2K+","October 5, 2024 at 1:10:00 AM UTC-4","October 5, 2024 at 10:20:00 AM UTC-4","leighton meester","https://trends.google.com/trends/explore?q=leighton%20meester&geo=US&hl=en"
"shane bieber","500+","October 5, 2024 at 1:10:00 PM UTC-4","October 5, 2024 at 2:20:00 PM UTC-4","shane bieber","https://trends.google.com/trends/explore?q=shane%20bieber&geo=US&hl=en"
"william shatner","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 5, 2024 at 4:50:00 AM UTC-4","william shatner","https://trends.google.com/trends/explore?q=william%20shatner&geo=US&hl=en"
"kim mathers","1K+","October 5, 2024 at 4:50:00 AM UTC-4","October 5, 2024 at 10:20:00 AM UTC-4","kim mathers","https://trends.google.com/trends/explore?q=kim%20mathers&geo=US&hl=en"
"chris evans","2K+","October 4, 2024 at 9:10:00 PM UTC-4","October 5, 2024 at 2:40:00 AM UTC-4","chris evans","https://trends.google.com/trends/explore?q=chris%20evans&geo=US&hl=en"
"luther burden iii","1K+","October 5, 2024 at 10:10:00 AM UTC-4","October 5, 2024 at 2:10:00 PM UTC-4","luther burden iii","https://trends.google.com/trends/explore?q=luther%20burden%20iii&geo=US&hl=en"
"rhea ripley","500+","October 5, 2024 at 12:50:00 PM UTC-4","October 5, 2024 at 1:50:00 PM UTC-4","rhea ripley","https://trends.google.com/trends/explore?q=rhea%20ripley&geo=US&hl=en"
"norwayne high school","2K+","October 4, 2024 at 6:50:00 PM UTC-4","October 5, 2024 at 9:20:00 AM UTC-4","norwayne high school,norwayne,norwayne accident","https://trends.google.com/trends/explore?q=norwayne%20high%20school&geo=US&hl=en"
"fryeburg fair","1K+","October 5, 2024 at 7:10:00 AM UTC-4","October 5, 2024 at 9:40:00 AM UTC-4","fryeburg fair","https://trends.google.com/trends/explore?q=fryeburg%20fair&geo=US&hl=en"
"balloon fiesta schedule","1K+","October 5, 2024 at 6:20:00 AM UTC-4","October 5, 2024 at 10:40:00 AM UTC-4","balloon fiesta schedule","https://trends.google.com/trends/explore?q=balloon%20fiesta%20schedule&geo=US&hl=en"
"namibia vs united states","1K+","October 5, 2024 at 8:00:00 AM UTC-4","October 5, 2024 at 12:00:00 PM UTC-4","namibia vs united states","https://trends.google.com/trends/explore?q=namibia%20vs%20united%20states&geo=US&hl=en"
"dominica","1K+","October 5, 2024 at 5:30:00 AM UTC-4","October 5, 2024 at 10:20:00 AM UTC-4","dominica","https://trends.google.com/trends/explore?q=dominica&geo=US&hl=en"
"shaq","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 4:20:00 AM UTC-4","shaq","https://trends.google.com/trends/explore?q=shaq&geo=US&hl=en"
"victoria beckham","1K+","October 5, 2024 at 6:00:00 AM UTC-4","October 5, 2024 at 2:30:00 PM UTC-4","victoria beckham","https://trends.google.com/trends/explore?q=victoria%20beckham&geo=US&hl=en"
"calvin darden jr","2K+","October 4, 2024 at 6:40:00 PM UTC-4","October 5, 2024 at 3:00:00 PM UTC-4","calvin darden jr","https://trends.google.com/trends/explore?q=calvin%20darden%20jr&geo=US&hl=en"
"team rubicon","1K+","October 5, 2024 at 7:40:00 AM UTC-4","October 5, 2024 at 9:50:00 AM UTC-4","team rubicon","https://trends.google.com/trends/explore?q=team%20rubicon&geo=US&hl=en"
"motor city machine guns","2K+","October 4, 2024 at 8:40:00 PM UTC-4","October 5, 2024 at 9:00:00 AM UTC-4","motor city machine guns","https://trends.google.com/trends/explore?q=motor%20city%20machine%20guns&geo=US&hl=en"
"nick dorka","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 12:40:00 AM UTC-4","nick dorka","https://trends.google.com/trends/explore?q=nick%20dorka&geo=US&hl=en"
"hocus pocus 2","2K+","October 4, 2024 at 7:30:00 PM UTC-4","October 5, 2024 at 1:20:00 AM UTC-4","hocus pocus 2,hocus pocus 3","https://trends.google.com/trends/explore?q=hocus%20pocus%202&geo=US&hl=en"
"lincoln lawyer","2K+","October 4, 2024 at 7:10:00 PM UTC-4","October 5, 2024 at 12:30:00 AM UTC-4","lincoln lawyer","https://trends.google.com/trends/explore?q=lincoln%20lawyer&geo=US&hl=en"
"caroline giuliani","5K+","October 4, 2024 at 4:40:00 PM UTC-4","October 4, 2024 at 6:30:00 PM UTC-4","caroline giuliani,rudy giuliani daughter","https://trends.google.com/trends/explore?q=caroline%20giuliani&geo=US&hl=en"
"julius peppers","500+","October 5, 2024 at 12:50:00 PM UTC-4","October 5, 2024 at 2:00:00 PM UTC-4","julius peppers","https://trends.google.com/trends/explore?q=julius%20peppers&geo=US&hl=en"
"henry cavill","5K+","October 4, 2024 at 9:30:00 PM UTC-4","October 5, 2024 at 12:00:00 AM UTC-4","henry cavill","https://trends.google.com/trends/explore?q=henry%20cavill&geo=US&hl=en"
"real time with bill maher","2K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 7:40:00 AM UTC-4","real time with bill maher","https://trends.google.com/trends/explore?q=real%20time%20with%20bill%20maher&geo=US&hl=en"
"united cajun navy","500+","October 5, 2024 at 11:20:00 AM UTC-4","October 5, 2024 at 12:30:00 PM UTC-4","united cajun navy","https://trends.google.com/trends/explore?q=united%20cajun%20navy&geo=US&hl=en"
"christina ricci","2K+","October 4, 2024 at 8:40:00 PM UTC-4","October 5, 2024 at 1:50:00 AM UTC-4","christina ricci","https://trends.google.com/trends/explore?q=christina%20ricci&geo=US&hl=en"
"dusty baker","500+","October 5, 2024 at 12:40:00 PM UTC-4","October 5, 2024 at 1:50:00 PM UTC-4","dusty baker","https://trends.google.com/trends/explore?q=dusty%20baker&geo=US&hl=en"
"gap","2K+","October 5, 2024 at 3:40:00 AM UTC-4","October 5, 2024 at 9:00:00 AM UTC-4","gap","https://trends.google.com/trends/explore?q=gap&geo=US&hl=en"
"grigor dimitrov","500+","October 5, 2024 at 3:50:00 AM UTC-4","October 5, 2024 at 9:40:00 AM UTC-4","grigor dimitrov","https://trends.google.com/trends/explore?q=grigor%20dimitrov&geo=US&hl=en"
"kai havertz","500+","October 5, 2024 at 11:30:00 AM UTC-4","October 5, 2024 at 1:00:00 PM UTC-4","kai havertz","https://trends.google.com/trends/explore?q=kai%20havertz&geo=US&hl=en"
"ucla football schedule","500+","October 5, 2024 at 12:40:00 PM UTC-4","October 5, 2024 at 1:40:00 PM UTC-4","ucla football schedule","https://trends.google.com/trends/explore?q=ucla%20football%20schedule&geo=US&hl=en"
"lynx wnba","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 10:40:00 PM UTC-4","lynx wnba","https://trends.google.com/trends/explore?q=lynx%20wnba&geo=US&hl=en"
"colman domingo","500+","October 5, 2024 at 9:30:00 AM UTC-4","October 5, 2024 at 11:30:00 AM UTC-4","colman domingo","https://trends.google.com/trends/explore?q=colman%20domingo&geo=US&hl=en"
"rush hour","2K+","October 4, 2024 at 8:30:00 PM UTC-4","October 5, 2024 at 2:10:00 AM UTC-4","rush hour","https://trends.google.com/trends/explore?q=rush%20hour&geo=US&hl=en"
"massachusetts governor gun law","2K+","October 4, 2024 at 11:20:00 PM UTC-4","October 5, 2024 at 1:30:00 AM UTC-4","massachusetts governor gun law,massachusetts gun laws","https://trends.google.com/trends/explore?q=massachusetts%20governor%20gun%20law&geo=US&hl=en"
"great british baking show","2K+","October 4, 2024 at 8:00:00 PM UTC-4","October 5, 2024 at 12:20:00 AM UTC-4","great british baking show","https://trends.google.com/trends/explore?q=great%20british%20baking%20show&geo=US&hl=en"
"strands answers","2K+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 8:40:00 AM UTC-4","strands answers,strands hint today,no way strands,strands hint","https://trends.google.com/trends/explore?q=strands%20answers&geo=US&hl=en"
"chelsea gray","2K+","October 4, 2024 at 10:10:00 PM UTC-4","October 5, 2024 at 12:20:00 AM UTC-4","chelsea gray","https://trends.google.com/trends/explore?q=chelsea%20gray&geo=US&hl=en"
"madrid - barcelona","500+","October 5, 2024 at 9:40:00 AM UTC-4","October 5, 2024 at 11:20:00 AM UTC-4","madrid - barcelona","https://trends.google.com/trends/explore?q=madrid%20-%20barcelona&geo=US&hl=en"
"carolina hurricanes","2K+","October 4, 2024 at 7:00:00 PM UTC-4","October 4, 2024 at 10:20:00 PM UTC-4","carolina hurricanes","https://trends.google.com/trends/explore?q=carolina%20hurricanes&geo=US&hl=en"
"norwalk california","1K+","October 5, 2024 at 12:00:00 AM UTC-4","October 5, 2024 at 9:10:00 AM UTC-4","norwalk california","https://trends.google.com/trends/explore?q=norwalk%20california&geo=US&hl=en"
"jessica tarlov","2K+","October 4, 2024 at 10:40:00 PM UTC-4","October 5, 2024 at 12:00:00 AM UTC-4","jessica tarlov,rachel maddow","https://trends.google.com/trends/explore?q=jessica%20tarlov&geo=US&hl=en"
"blowing rock north carolina","1K+","October 4, 2024 at 6:10:00 PM UTC-4","October 5, 2024 at 6:30:00 AM UTC-4","blowing rock north carolina","https://trends.google.com/trends/explore?q=blowing%20rock%20north%20carolina&geo=US&hl=en"
"omar apollo","1K+","October 5, 2024 at 1:10:00 AM UTC-4","October 5, 2024 at 5:10:00 AM UTC-4","omar apollo","https://trends.google.com/trends/explore?q=omar%20apollo&geo=US&hl=en"
"andreas pereira","500+","October 5, 2024 at 10:30:00 AM UTC-4","October 5, 2024 at 11:40:00 AM UTC-4","andreas pereira,raul jimenez","https://trends.google.com/trends/explore?q=andreas%20pereira&geo=US&hl=en"
"austin reaves","1K+","October 4, 2024 at 11:30:00 PM UTC-4","October 5, 2024 at 6:30:00 AM UTC-4","austin reaves","https://trends.google.com/trends/explore?q=austin%20reaves&geo=US&hl=en"
"san diego zoo","500+","October 5, 2024 at 1:10:00 PM UTC-4","October 5, 2024 at 2:00:00 PM UTC-4","san diego zoo","https://trends.google.com/trends/explore?q=san%20diego%20zoo&geo=US&hl=en"
"boeing starliner spacecraft","500+","October 5, 2024 at 5:10:00 AM UTC-4","October 5, 2024 at 7:50:00 AM UTC-4","boeing starliner spacecraft","https://trends.google.com/trends/explore?q=boeing%20starliner%20spacecraft&geo=US&hl=en"
"smerconish","1K+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 10:30:00 AM UTC-4","smerconish","https://trends.google.com/trends/explore?q=smerconish&geo=US&hl=en"
"juliette lewis","2K+","October 4, 2024 at 9:10:00 PM UTC-4","October 5, 2024 at 1:50:00 AM UTC-4","juliette lewis","https://trends.google.com/trends/explore?q=juliette%20lewis&geo=US&hl=en"
"daylight savings","2K+","October 5, 2024 at 6:40:00 AM UTC-4","October 5, 2024 at 8:10:00 AM UTC-4","daylight savings,time change,daylight savings time 2024,time","https://trends.google.com/trends/explore?q=daylight%20savings&geo=US&hl=en"
"utah football cam rising injury","500+","October 5, 2024 at 5:10:00 AM UTC-4","October 5, 2024 at 7:40:00 AM UTC-4","utah football cam rising injury","https://trends.google.com/trends/explore?q=utah%20football%20cam%20rising%20injury&geo=US&hl=en"
"tez johnson","2K+","October 4, 2024 at 10:00:00 PM UTC-4","October 5, 2024 at 1:00:00 AM UTC-4","tez johnson","https://trends.google.com/trends/explore?q=tez%20johnson&geo=US&hl=en"
"jack bech","2K+","October 4, 2024 at 7:30:00 PM UTC-4","October 4, 2024 at 11:20:00 PM UTC-4","jack bech","https://trends.google.com/trends/explore?q=jack%20bech&geo=US&hl=en"
"red wings","2K+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 10:40:00 PM UTC-4","red wings","https://trends.google.com/trends/explore?q=red%20wings&geo=US&hl=en"
"david henrie","500+","October 5, 2024 at 9:30:00 AM UTC-4","October 5, 2024 at 10:40:00 AM UTC-4","david henrie","https://trends.google.com/trends/explore?q=david%20henrie&geo=US&hl=en"
"george conway","1K+","October 4, 2024 at 9:20:00 PM UTC-4","October 5, 2024 at 10:30:00 AM UTC-4","george conway","https://trends.google.com/trends/explore?q=george%20conway&geo=US&hl=en"
"hillary clinton","500+","October 5, 2024 at 9:40:00 AM UTC-4","October 5, 2024 at 10:50:00 AM UTC-4","hillary clinton","https://trends.google.com/trends/explore?q=hillary%20clinton&geo=US&hl=en"
"smile","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 5, 2024 at 3:20:00 AM UTC-4","smile","https://trends.google.com/trends/explore?q=smile&geo=US&hl=en"
"mn wild","2K+","October 4, 2024 at 8:40:00 PM UTC-4","October 4, 2024 at 11:40:00 PM UTC-4","mn wild","https://trends.google.com/trends/explore?q=mn%20wild&geo=US&hl=en"
"21 jump street","2K+","October 4, 2024 at 9:50:00 PM UTC-4","October 5, 2024 at 2:00:00 AM UTC-4","21 jump street,jonah hill","https://trends.google.com/trends/explore?q=21%20jump%20street&geo=US&hl=en"
"lizzo weight loss","2K+","October 4, 2024 at 10:00:00 PM UTC-4","October 4, 2024 at 11:10:00 PM UTC-4","lizzo weight loss,lizzo","https://trends.google.com/trends/explore?q=lizzo%20weight%20loss&geo=US&hl=en"
"vítězslav jaroš","500+","October 5, 2024 at 9:10:00 AM UTC-4","October 5, 2024 at 10:30:00 AM UTC-4","vítězslav jaroš","https://trends.google.com/trends/explore?q=v%C3%ADt%C4%9Bzslav%20jaro%C5%A1&geo=US&hl=en"
"courtney williams","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 10:20:00 PM UTC-4","courtney williams","https://trends.google.com/trends/explore?q=courtney%20williams&geo=US&hl=en"
"ubisoft","2K+","October 4, 2024 at 5:40:00 PM UTC-4","October 4, 2024 at 8:00:00 PM UTC-4","ubisoft,tencent","https://trends.google.com/trends/explore?q=ubisoft&geo=US&hl=en"
"chanel","1K+","October 5, 2024 at 3:20:00 AM UTC-4","October 5, 2024 at 9:10:00 AM UTC-4","chanel","https://trends.google.com/trends/explore?q=chanel&geo=US&hl=en"
"jack nicholson","1K+","October 4, 2024 at 11:40:00 PM UTC-4","October 5, 2024 at 6:20:00 AM UTC-4","jack nicholson","https://trends.google.com/trends/explore?q=jack%20nicholson&geo=US&hl=en"
"samaritan's purse helene","500+","October 5, 2024 at 10:00:00 AM UTC-4","October 5, 2024 at 1:00:00 PM UTC-4","samaritan's purse helene","https://trends.google.com/trends/explore?q=samaritan%27s%20purse%20helene&geo=US&hl=en"
"halle berry","2K+","October 5, 2024 at 12:00:00 AM UTC-4","October 5, 2024 at 1:10:00 AM UTC-4","halle berry","https://trends.google.com/trends/explore?q=halle%20berry&geo=US&hl=en"
"anthony edwards","1K+","October 4, 2024 at 11:20:00 PM UTC-4","October 5, 2024 at 1:20:00 AM UTC-4","anthony edwards","https://trends.google.com/trends/explore?q=anthony%20edwards&geo=US&hl=en"
"johnny depp","2K+","October 4, 2024 at 8:20:00 PM UTC-4","October 4, 2024 at 10:30:00 PM UTC-4","johnny depp","https://trends.google.com/trends/explore?q=johnny%20depp&geo=US&hl=en"
"cameron diaz","1K+","October 4, 2024 at 9:30:00 PM UTC-4","October 5, 2024 at 12:20:00 PM UTC-4","cameron diaz","https://trends.google.com/trends/explore?q=cameron%20diaz&geo=US&hl=en"
"d'angelo russell","1K+","October 4, 2024 at 11:30:00 PM UTC-4","October 5, 2024 at 3:20:00 AM UTC-4","d'angelo russell","https://trends.google.com/trends/explore?q=d%27angelo%20russell&geo=US&hl=en"
"ksl","500+","October 5, 2024 at 1:50:00 AM UTC-4","October 5, 2024 at 1:10:00 PM UTC-4","ksl","https://trends.google.com/trends/explore?q=ksl&geo=US&hl=en"
"pittsburgh penguins","2K+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 9:40:00 PM UTC-4","pittsburgh penguins,penguins","https://trends.google.com/trends/explore?q=pittsburgh%20penguins&geo=US&hl=en"
"calgorithm","200+","October 5, 2024 at 11:30:00 AM UTC-4","October 5, 2024 at 12:40:00 PM UTC-4","calgorithm","https://trends.google.com/trends/explore?q=calgorithm&geo=US&hl=en"
"karoline leavitt","500+","October 5, 2024 at 8:20:00 AM UTC-4","October 5, 2024 at 9:30:00 AM UTC-4","karoline leavitt","https://trends.google.com/trends/explore?q=karoline%20leavitt&geo=US&hl=en"
"svengoolie","500+","October 5, 2024 at 9:20:00 AM UTC-4","October 5, 2024 at 10:50:00 AM UTC-4","svengoolie","https://trends.google.com/trends/explore?q=svengoolie&geo=US&hl=en"
"kayla mcbride","2K+","October 4, 2024 at 8:00:00 PM UTC-4","October 4, 2024 at 10:20:00 PM UTC-4","kayla mcbride","https://trends.google.com/trends/explore?q=kayla%20mcbride&geo=US&hl=en"
"guy fieri","1K+","October 4, 2024 at 9:00:00 PM UTC-4","October 5, 2024 at 1:10:00 AM UTC-4","guy fieri","https://trends.google.com/trends/explore?q=guy%20fieri&geo=US&hl=en"
"carrie underwood","500+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 8:50:00 AM UTC-4","carrie underwood","https://trends.google.com/trends/explore?q=carrie%20underwood&geo=US&hl=en"
"gal gadot","1K+","October 4, 2024 at 11:40:00 PM UTC-4","October 5, 2024 at 5:30:00 AM UTC-4","gal gadot","https://trends.google.com/trends/explore?q=gal%20gadot&geo=US&hl=en"
"andrey rublev","500+","October 5, 2024 at 1:10:00 AM UTC-4","October 5, 2024 at 4:50:00 AM UTC-4","andrey rublev,rublev","https://trends.google.com/trends/explore?q=andrey%20rublev&geo=US&hl=en"
"sri lanka women vs australia women","500+","October 5, 2024 at 6:50:00 AM UTC-4","October 5, 2024 at 10:10:00 AM UTC-4","sri lanka women vs australia women","https://trends.google.com/trends/explore?q=sri%20lanka%20women%20vs%20australia%20women&geo=US&hl=en"
"alanna smith","1K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 10:30:00 PM UTC-4","alanna smith","https://trends.google.com/trends/explore?q=alanna%20smith&geo=US&hl=en"
"deportivo cali - millonarios","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 11:50:00 PM UTC-4","deportivo cali - millonarios,deportivo cali vs millonarios","https://trends.google.com/trends/explore?q=deportivo%20cali%20-%20millonarios&geo=US&hl=en"
"islanders","2K+","October 4, 2024 at 7:30:00 PM UTC-4","October 4, 2024 at 10:30:00 PM UTC-4","islanders,ny rangers","https://trends.google.com/trends/explore?q=islanders&geo=US&hl=en"
"terrence shannon jr.","1K+","October 5, 2024 at 12:30:00 AM UTC-4","October 5, 2024 at 7:00:00 AM UTC-4","terrence shannon jr.,terrence shannon jr","https://trends.google.com/trends/explore?q=terrence%20shannon%20jr.&geo=US&hl=en"
"xavier restrepo","500+","October 5, 2024 at 11:30:00 AM UTC-4","October 5, 2024 at 12:10:00 PM UTC-4","xavier restrepo","https://trends.google.com/trends/explore?q=xavier%20restrepo&geo=US&hl=en"
"leon bridges","1K+","October 4, 2024 at 7:40:00 PM UTC-4","October 4, 2024 at 10:10:00 PM UTC-4","leon bridges","https://trends.google.com/trends/explore?q=leon%20bridges&geo=US&hl=en"
"madrid cff vs barcelona","200+","October 5, 2024 at 10:00:00 AM UTC-4","October 5, 2024 at 11:10:00 AM UTC-4","madrid cff vs barcelona","https://trends.google.com/trends/explore?q=madrid%20cff%20vs%20barcelona&geo=US&hl=en"
"jalen hood-schifino","1K+","October 4, 2024 at 11:40:00 PM UTC-4","October 5, 2024 at 2:40:00 AM UTC-4","jalen hood-schifino","https://trends.google.com/trends/explore?q=jalen%20hood-schifino&geo=US&hl=en"
"rainy season","500+","October 5, 2024 at 3:30:00 AM UTC-4","October 5, 2024 at 8:50:00 AM UTC-4","rainy season","https://trends.google.com/trends/explore?q=rainy%20season&geo=US&hl=en"
"mattress","200+","October 5, 2024 at 7:50:00 AM UTC-4","October 5, 2024 at 9:00:00 AM UTC-4","mattress","https://trends.google.com/trends/explore?q=mattress&geo=US&hl=en"
"kit connor","1K+","October 5, 2024 at 12:50:00 AM UTC-4","October 5, 2024 at 2:40:00 AM UTC-4","kit connor,heartstopper season 4","https://trends.google.com/trends/explore?q=kit%20connor&geo=US&hl=en"
"hezbollah hashem safieddine","2K+","October 4, 2024 at 6:40:00 PM UTC-4","October 4, 2024 at 8:20:00 PM UTC-4","hezbollah hashem safieddine","https://trends.google.com/trends/explore?q=hezbollah%20hashem%20safieddine&geo=US&hl=en"
"vanilla ice","1K+","October 4, 2024 at 9:30:00 PM UTC-4","October 5, 2024 at 2:10:00 AM UTC-4","vanilla ice","https://trends.google.com/trends/explore?q=vanilla%20ice&geo=US&hl=en"
"shrinking season 2","2K+","October 4, 2024 at 8:10:00 PM UTC-4","October 4, 2024 at 10:50:00 PM UTC-4","shrinking season 2,shrinking","https://trends.google.com/trends/explore?q=shrinking%20season%202&geo=US&hl=en"
"clairo","500+","October 5, 2024 at 1:20:00 AM UTC-4","October 5, 2024 at 4:40:00 AM UTC-4","clairo","https://trends.google.com/trends/explore?q=clairo&geo=US&hl=en"
